Cecha,Sila_Wplywu,Kierunek_Wplywu
Fossil Hard coal,0.32595064246547867,-0.32595064246547867
Solar,0.2098866493173696,-0.1917539781679738
OZE_Share_lag_1h,0.18687061461105156,-0.18329656980829567
Fossil Brown coal/Lignite,0.17563420553165007,-0.17563420553165007
temperatura,0.10921725506354524,0.10561256757614082
OZE_Share_lag_2h,0.1052882505015841,-0.09102217264935697
Fossil Gas,0.09285557474912826,-0.09285557474912826
OZE_Share,0.09283482673539928,0.048725543257320855
OZE_Share_lag_4h,0.08739887834219655,-0.07197893359371937
OZE_Share_lag_3h,0.08641905903341815,-0.07015639753135379
Solar_lag_24h,0.08053862908793331,-0.04603448715757267
hour_cos_lag_24h,0.0800387599576983,-0.07640127839882807
OZE_Share_lag_5h,0.0799668380892911,-0.06340521688343044
wiatr,0.07868141757106181,0.06519035431603643
OZE_Share_lag_6h,0.07675741341365935,-0.06035851468736532
temperatura_lag_24h,0.07471934525765438,-0.06150856179181836
wilgotność_lag_24h,0.07288627947459608,-0.06716232893035326
OZE_Share_lag_7h,0.07085103490670926,-0.05297826678229772
OZE_Share_lag_24h,0.0706805106085403,0.06884530781413167
OZE_Share_lag_8h,0.06671631633118959,-0.04665540927414248
Fossil Hard coal_lag_3h,0.06477390302511037,-0.061404622568291586
hour_cos,0.06261209855675773,-0.004433684469614167
OZE_Share_lag_22h,0.06140472905582498,-0.04774782391526796
Solar_lag_1h,0.06121385682331559,0.027193507552946902
OZE_Share_lag_23h,0.059878148092589685,-0.04646873787166114
Fossil Hard coal_lag_2h,0.05986255745764873,-0.055952641175222105
OZE_Share_lag_9h,0.059792191218760254,-0.03386793284285082
OZE_Share_lag_11h,0.059788120091919916,-0.03195663114642224
hour_cos_lag_23h,0.059463863931360286,-0.057778231733383784
OZE_Share_lag_10h,0.05924809782309364,-0.032826269872526556
wilgotność,0.058152313094383276,0.012828032817217562
OZE_Share_lag_12h,0.05789748140105019,-0.029703590005783004
Fossil Hard coal_lag_5h,0.05645989028537449,-0.052484497165262975
Solar_lag_2h,0.05623573968405246,0.056018106512356475
temperatura_lag_1h,0.0559602314237333,0.02246017617071019
Fossil Hard coal_lag_4h,0.05591109282480186,-0.05199959203755853
OZE_Share_lag_21h,0.053807836238480046,-0.031633061720829525
OZE_Share_lag_20h,0.051978377204589275,-0.021546781412746793
Fossil Brown coal/Lignite_lag_2h,0.051324163700970156,-0.04577882518583589
OZE_Share_lag_13h,0.050130670333113664,-0.019878069885294565
Fossil Hard coal_lag_7h,0.04998256786222752,-0.04576092210131207
temperatura_lag_4h,0.04963421087365283,-0.04132987063128617
Fossil Hard coal_lag_6h,0.049124529414265435,-0.044814486644202484
Fossil Brown coal/Lignite_lag_3h,0.04890190826099608,-0.04354076435400087
Fossil Hard coal_lag_24h,0.04870153545018603,0.037133396581967404
wiatr_lag_2h,0.048484616223683524,-0.04591772061423923
hour_cos_lag_1h,0.0476545555867769,-0.008382219955664794
OZE_Share_lag_19h,0.047544651915587044,-0.002170097811261555
hour_cos_lag_22h,0.04650407498540662,-0.045142466524862056
OZE_Share_lag_17h,0.0459941003058406,0.008550390733677254
hour_cos_lag_11h,0.04565924284962362,-0.0376441736888415
OZE_Share_lag_18h,0.04558061381458522,0.003895016775419499
hour_cos_lag_10h,0.04542481516161591,-0.03772854389326091
OZE_Share_lag_16h,0.04520378981451402,0.003281044857005006
hour_cos_lag_12h,0.04520165652100124,-0.038061709740256085
OZE_Share_lag_14h,0.04514700940897195,-0.006573889848656751
OZE_Share_lag_15h,0.04460515711145336,0.002078567215914218
temperatura_lag_5h,0.04437342195671367,-0.02725213859139873
hour_cos_lag_9h,0.04432615839960566,-0.03744221450148812
wiatr_lag_1h,0.044024978144491585,-0.04330500549580969
hour_cos_lag_13h,0.04387562922926741,-0.03832673484296337
Fossil Hard coal_lag_8h,0.04347718843675799,-0.03840382809896801
temperatura_lag_3h,0.043265626580784665,-0.018030111988303073
temperatura_lag_6h,0.04267144000439346,-0.001849306517086186
hour_cos_lag_8h,0.042396226728665214,-0.03659182298872725
hour_cos_lag_14h,0.042388889697678976,-0.038025008667095433
temperatura_lag_2h,0.042240289612457745,0.013936817679993647
wiatr_lag_24h,0.04211222800322605,0.03239353539728483
Fossil Hard coal_lag_9h,0.041422742665019205,-0.03558842278212997
hour_cos_lag_15h,0.041043816470804545,-0.03307736485304427
hour_cos_lag_7h,0.040752687165933325,-0.036798558417698864
hour_cos_lag_6h,0.040745795904059995,-0.03840115681212288
Fossil Brown coal/Lignite_lag_5h,0.03930684630554235,-0.03323689432431189
hour_cos_lag_16h,0.03930590344432158,-0.029043822981436637
hour_cos_lag_21h,0.03876389373975905,-0.03549365594978997
Fossil Brown coal/Lignite_lag_4h,0.038471598755785756,-0.03242660125388322
Fossil Brown coal/Lignite_lag_7h,0.03799395907710393,-0.03213407932726395
hour_cos_lag_2h,0.03787733113734033,-0.014323061910794225
hour_cos_lag_5h,0.03785395748986376,-0.03535060803417486
hour_cos_lag_17h,0.037751651522820444,-0.02874994219380083
temperatura_lag_7h,0.03754684801069506,-0.0001785198934485684
Fossil Brown coal/Lignite_lag_6h,0.03747300396919404,-0.0308653400799156
Solar_lag_23h,0.03709077471145891,-0.00010363055762527847
Fossil Brown coal/Lignite_lag_24h,0.036826411553173254,0.014883024866530441
temperatura_lag_13h,0.03663684177416471,-0.01630698920529891
hour_cos_lag_18h,0.035683376163092466,-0.026923002422402767
hour_cos_lag_20h,0.03540500889926268,-0.030913471800189583
temperatura_lag_8h,0.03477104300415943,0.00041724473619663273
Fossil Hard coal_lag_21h,0.034727883949348906,-0.027949837202641173
temperatura_lag_10h,0.03472218336262276,0.004913774245631838
hour_cos_lag_19h,0.0347040992666436,-0.028823214034873017
temperatura_lag_12h,0.03468339181623005,-0.01171870388763141
temperatura_lag_9h,0.03445462850040908,0.0006951423301816907
temperatura_lag_18h,0.03436435487904281,0.022520752828462845
Fossil Brown coal/Lignite_lag_8h,0.03435025689135707,-0.027630000900759892
Fossil Hard coal_lag_10h,0.03432276227043394,-0.024276952377398173
temperatura_lag_19h,0.034128385874890935,0.02248513105645829
temperatura_lag_23h,0.034000567108290705,-0.025548293649322693
temperatura_lag_14h,0.03397883168022126,-0.009957327242239963
hour_cos_lag_4h,0.03390184940766755,-0.02839667294009922
hour_cos_lag_3h,0.03386504188146368,-0.020744950662832485
temperatura_lag_20h,0.033757386970701096,0.02135289426010878
Fossil Hard coal_lag_11h,0.03369146448088599,-0.024360334620382673
Fossil Hard coal_lag_1h,0.033375141192482916,-0.008467912216523628
Fossil Hard coal_lag_22h,0.03331146977352055,-0.02715374887055809
temperatura_lag_17h,0.03301711931033144,0.020268182074656013
temperatura_lag_21h,0.032988215055718126,0.02228784485739216
temperatura_lag_11h,0.03273881876532494,-0.005188504107404039
Fossil Gas_lag_2h,0.03230475806329296,-0.030901263045377183
temperatura_lag_15h,0.031063235224804683,0.0002339854996727665
temperatura_lag_16h,0.031035854390502642,0.01027044057300628
Fossil Hard coal_lag_12h,0.030703297156066567,-0.01970889446216832
Fossil Gas_lag_24h,0.029953673436708572,0.02585386996363003
Fossil Brown coal/Lignite_lag_1h,0.029503355419264146,-0.0065297434876214365
Fossil Brown coal/Lignite_lag_9h,0.029485834730228255,-0.020211889395291317
Fossil Brown coal/Lignite_lag_22h,0.02917283217120611,-0.02421078511859666
temperatura_lag_22h,0.028943385888354736,0.01304407196912911
wiatr_lag_3h,0.02861664100744524,-0.022685991070199987
Solar_lag_9h,0.0285729812323589,-0.0019636674905691587
Fossil Brown coal/Lignite_lag_21h,0.028235231816807673,-0.021465183236665318
Solar_lag_8h,0.02822187889556805,-0.0011223598713673215
Fossil Hard coal_lag_13h,0.028164418958024375,-0.014574017958761664
Solar_lag_21h,0.02809147844486994,0.013235059572633438
wilgotność_lag_1h,0.027410259076622964,0.025782592950713567
Fossil Hard coal_lag_20h,0.027157892679677904,-0.008954651732255127
Fossil Brown coal/Lignite_lag_10h,0.027140862552158855,-0.01589453218168603
Fossil Hard coal_lag_14h,0.027137801709990313,-0.012384722821268974
Fossil Brown coal/Lignite_lag_11h,0.0270301039654577,-0.0150552716173651
Solar_lag_16h,0.02702227787571475,0.0005591273008148787
Solar_lag_20h,0.02690182722588731,0.011505545892969302
Solar_lag_5h,0.026790589112114103,0.018124321563248755
Fossil Gas_lag_3h,0.02676985797208468,-0.025544623204582024
Fossil Hard coal_lag_19h,0.026727933832497226,-0.005011717117603463
Solar_lag_13h,0.026576939958195503,0.0042447281841720185
Solar_lag_12h,0.026488949889058748,0.005324750072840604
Fossil Hard coal_lag_15h,0.026193888276785957,-0.0072851800362048824
Solar_lag_19h,0.026150071962067315,0.006682319031440942
Solar_lag_18h,0.026027321424809447,0.004076420480935646
Solar_lag_15h,0.0259848506035004,0.0029046896572170015
Fossil Hard coal_lag_16h,0.025745765499343206,-0.003100112498153907
Solar_lag_11h,0.0256948275330834,0.014483418679393857
Solar_lag_14h,0.025578974758924497,0.003549904727086129
Solar_lag_17h,0.02552344517155648,0.00558333886868978
Fossil Hard coal_lag_18h,0.02549791514215878,-0.004268297376748725
Solar_lag_7h,0.02525264143409582,0.0037844909689855374
Fossil Hard coal_lag_17h,0.025042548286874616,-0.0027800689342971597
Fossil Gas_lag_4h,0.024977832510048845,-0.023361241170618212
Fossil Brown coal/Lignite_lag_12h,0.024661329993906866,-0.011955817875392457
Solar_lag_6h,0.02429808683300593,0.013848242040903376
Solar_lag_10h,0.023859628855828072,0.007289076195224666
Solar_lag_3h,0.023589611416700504,0.013886380661900559
Fossil Gas_lag_5h,0.023493064987354838,-0.021627237236606808
Solar_lag_4h,0.02318723348929845,0.01147559792427199
Fossil Gas_lag_6h,0.022605982218093262,-0.020698016479682696
Fossil Brown coal/Lignite_lag_19h,0.02260319161055077,0.006662755764677032
Fossil Brown coal/Lignite_lag_20h,0.02240496037572544,-0.003713300977104976
wilgotność_lag_23h,0.021696287074626872,0.012344145692378298
Fossil Gas_lag_1h,0.02158350598967386,-0.016444468065057366
Fossil Brown coal/Lignite_lag_17h,0.021525655272707472,0.004271315309454786
Fossil Brown coal/Lignite_lag_14h,0.021452836148062506,-0.006963919718596294
Fossil Brown coal/Lignite_lag_13h,0.021452347448019264,-0.007919789241930089
Fossil Hard coal_lag_23h,0.021258246403894364,0.013827300317902809
Fossil Brown coal/Lignite_lag_16h,0.02123607720115287,-0.00025434136251309425
Solar_lag_22h,0.021069307583194183,0.010212815901609213
Fossil Brown coal/Lignite_lag_15h,0.020877423148993414,0.0010260944444269553
Fossil Brown coal/Lignite_lag_18h,0.020778232451656588,0.0031000336448447087
wilgotność_lag_2h,0.020139999939917663,-0.019100709433023715
Fossil Gas_lag_7h,0.019857074056386148,-0.017609409737277246
Fossil Gas_lag_8h,0.019457544524656742,-0.016839466861235573
wiatr_lag_4h,0.017727859639758977,-0.009018517910355817
Fossil Gas_lag_12h,0.01712843140654803,-0.014331315556314814
Fossil Gas_lag_9h,0.01710827011030333,-0.01396625867736571
Fossil Gas_lag_11h,0.016794416921706676,-0.012419017067012192
Fossil Gas_lag_10h,0.016791978029501643,-0.012585183500023417
wilgotność_lag_22h,0.016250010708349884,0.01214600828020067
Tsun_min_lag_24h,0.016048510818231998,0.003468195158789518
Fossil Gas_lag_22h,0.015870847025718258,-0.013268787742629885
Fossil Gas_lag_21h,0.015806362807626657,-0.012002980123955556
Fossil Brown coal/Lignite_lag_23h,0.01570291513074806,0.0027645632846037206
Tsun_min_lag_23h,0.015413473807379778,-0.010080598241132497
wilgotność_lag_4h,0.014944027179554124,0.00908508417342302
wilgotność_lag_10h,0.014939814181892228,-0.014243744351304651
Tsun_min,0.014225569988333927,0.011457198518209052
wiatr_lag_5h,0.014221059343421348,-0.00569150602500389
Fossil Gas_lag_20h,0.013863963416646549,-0.008337006098485276
wiatr_lag_6h,0.013805126217150155,-0.00412260745683608
wiatr_lag_10h,0.013334416829332939,-0.002880524198432011
wiatr_lag_16h,0.013320435879774876,-0.004106803482690927
wiatr_lag_18h,0.013263642990966669,-0.0037169619695579994
Fossil Gas_lag_19h,0.013072216320508064,5.807579600850636e-05
Fossil Gas_lag_13h,0.013067824836470184,-0.006644979892811613
Fossil Gas_lag_15h,0.01284682798853615,0.0033089711629234915
wiatr_lag_8h,0.012689383979526707,-0.002281044006599226
Fossil Gas_lag_14h,0.01260577230087717,-0.0033667610816146072
wiatr_lag_15h,0.012517862991547715,-0.0003267872730773832
wiatr_lag_23h,0.012491525252146463,0.006634562654794449
wiatr_lag_22h,0.012431927897865215,0.005878817842587314
Fossil Gas_lag_17h,0.012405203867094622,0.000967463981052012
Tsun_min_lag_22h,0.01231979499350367,-0.010096453772258727
wiatr_lag_9h,0.012318031324607952,-0.001274270573191022
wiatr_lag_19h,0.01231719398722223,0.005131562928201504
Fossil Gas_lag_16h,0.012315576444927794,-0.0007032542298074712
wilgotność_lag_6h,0.012315022327058538,-0.009283640009718002
Fossil Gas_lag_18h,0.012293722525418247,0.00040292574896430284
Tsun_min_lag_2h,0.012126817683671695,0.00876720629981709
wiatr_lag_7h,0.012119822392597422,0.0029577754465478076
wiatr_lag_14h,0.01193331655420022,0.0019527463526802906
wiatr_lag_13h,0.011877588727576334,0.0019063394117009769
wiatr_lag_11h,0.011742015835338682,0.0034121539009872703
wiatr_lag_21h,0.011648562511718091,0.004027019742796761
wiatr_lag_12h,0.011541271514898824,0.0012261352729639264
wiatr_lag_17h,0.011459740540267622,0.0024324040597806145
wilgotność_lag_3h,0.011297259338023426,-0.0009835212459815617
Tsun_min_lag_1h,0.011079103369609752,-0.002451109414941476
wilgotność_lag_11h,0.010993931242676055,-0.008795759468056096
wiatr_lag_20h,0.010911683368022514,0.0020135831756847794
wilgotność_lag_18h,0.010717400243988155,0.005639031372219186
wilgotność_lag_16h,0.010625432374395033,0.005522717343744616
wilgotność_lag_5h,0.010617200326369598,-0.0009831282544863031
Tsun_min_lag_21h,0.010594508488323984,0.008951153050293705
wilgotność_lag_17h,0.010517251069406292,0.0052338661819712785
wilgotność_lag_7h,0.010269941043737752,-0.0034604180440790545
wilgotność_lag_13h,0.009805297271131538,-0.005732108916079803
wilgotność_lag_8h,0.009579339856148925,0.0005007571922089108
wilgotność_lag_21h,0.009557460223233397,0.0021689162457081525
Tsun_min_lag_3h,0.00941406604877804,0.005394886100895887
wilgotność_lag_15h,0.009371173676347112,-0.0033175446637965945
wilgotność_lag_20h,0.009352571538372724,0.0016423907522612885
wilgotność_lag_19h,0.009287834425157567,-0.0003891984606437978
Fossil Gas_lag_23h,0.008946511940006736,3.9631746073647924e-05
wilgotność_lag_14h,0.008907945575642572,-0.0036986898224984723
wilgotność_lag_9h,0.008843544027447978,-0.005049605517149823
Tsun_min_lag_4h,0.007913724606392537,-0.007519607461841049
wilgotność_lag_12h,0.007772984085557351,-0.0034408059712920424
Tsun_min_lag_5h,0.006821380551817006,-0.0062780642978813245
Tsun_min_lag_20h,0.006514281115448416,-0.005923787759959374
Tsun_min_lag_7h,0.006372421542018013,0.001147362604652028
Tsun_min_lag_14h,0.006182352169001387,-0.004891280283282553
Tsun_min_lag_19h,0.006107136051608441,-0.004586875480550261
Tsun_min_lag_8h,0.006077181342543446,-0.004735261085362716
Tsun_min_lag_12h,0.006062347719260634,-0.003664183055414695
Tsun_min_lag_13h,0.005830501184898993,-0.0005977359177184003
Tsun_min_lag_11h,0.005820550650191907,-0.0043964881360380745
Tsun_min_lag_18h,0.005650272974552828,0.00013032703093143684
Tsun_min_lag_6h,0.005485985271682405,-0.0019148699947210736
Tsun_min_lag_10h,0.0053273480027324965,-0.000546376442459475
Tsun_min_lag_9h,0.005313033612562326,-0.0009423357742798654
Tsun_min_lag_15h,0.005089744170228982,-0.0014665494131113248
Tsun_min_lag_16h,0.004997630090665238,-0.0032845550781616948
Tsun_min_lag_17h,0.004855477758165315,-0.002164161967276288
